last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,address,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id
Rigell,Edward,Scott,,Scott,E. Scott Rigell,1960-05-28,M,rep,VA,2,,Republican,418 Cannon HOB; Washington DC 20515-4602,R000589,2068,N00030962,,H0VA02084,9268996,412483
Dent,Charles,W.,,,Charles W. Dent,1960-05-24,M,rep,PA,15,,Republican,2082 Rayburn House Office Building; Washington DC 20515-3815,D000604,1799,N00026171,,H4PA15087,1011395,400648
Matheson,Jim,,,,Jim Matheson,1960-03-21,M,rep,UT,4,,Democrat,2211 Rayburn HOB; Washington DC 20515-4404,M001142,1671,N00009753,,H0UT02096,89172,400255
Sanchez,Loretta,B.,,,Loretta Sanchez,1960-01-07,F,rep,CA,46,,Democrat,1211 Longworth HOB; Washington DC 20515-0546,S000030,1522,N00008274,,H6CA46033,45639,400356
John,Christopher,,,Chris,,1960-01-05,M,rep,LA,7,,Democrat,,J000110,1495,N00008038,,,,400203
Cravaack,Chip,,,,Chip Cravaack,1959-12-29,M,rep,MN,8,,Republican,508 Cannon HOB; Washington DC 20515-2308,C001086,2031,N00031623,,H0MN08115,,412441
Hayworth,Nan,,,,Nan A. S. Hayworth,1959-12-14,F,rep,NY,19,,Republican,1440 Longworth HOB; Washington DC 20515-3219,H001054,2042,N00031124,,H0NY19139,,412452
Emanuel,Rahm,,,,,1959-11-29,M,rep,IL,5,,Democrat,,E000287,1725,N00024813,,H2IL05092,26079,400120
Bell,Chris,,,,,1959-11-23,M,rep,TX,25,,Democrat,,B001241,1750,N00024919,,,,400022
Bonner,Jo,,,,Jo Bonner,1959-11-19,M,rep,AL,1,,Republican,2236 Rayburn HOB; Washington DC 20515-0101,B001244,1703,N00025330,,H2AL01077,1003546,400038
Davis,David,,,,,1959-11-06,M,rep,TN,1,,Republican,,D000606,1877,N00008758,,H6TN01313,,412235
Inglis,Bob,,,,,1959-10-11,M,rep,SC,4,,Republican,,I000023,582,N00002460,,H2SC04022,26441,400649
Clawson,Curtis,,,Curt,Curt Clawson,1959-09-28,M,rep,FL,19,,Republican,228 Cannon HOB; Washington DC 20515-0919,C001102,2200,N00035854,,H4FL19074,75516,412604
Massa,Eric,J. J.,,,,1959-09-16,M,rep,NY,29,,Democrat,,M001173,1945,N00027550,,H6NY29168,1018513,412299
Kirk,Mark,Steven,,,Mark Kirk,1959-09-15,M,sen,IL,,3,Republican,524 Hart Senate Office Building Washington DC 20510,K000360,1647,N00012539,S339,"H0IL10120,S0IL00261",85221,400222
Brown,Scott,,,,Scott P. Brown,1959-09-12,M,sen,MA,,1,Republican,359 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,B001268,1975,N00031174,S335,S0MA00109,9266532,412384
Chandler,Ben,,,,Ben Chandler,1959-09-12,M,rep,KY,6,,Democrat,1504 Longworth HOB; Washington DC 20515-1706,C001058,1759,N00026591,,H4KY06072,1007734,400442
Adler,John,H.,,,,1959-08-23,M,rep,NJ,3,,Democrat,,A000364,1935,N00000812,,H8NJ03156,1030767,412264
Berg,Rick,,,,Rick Berg,1959-08-16,M,rep,ND,0,,Republican,323 Cannon HOB; Washington DC 20515-3401,B001272,2037,N00031629,,H0ND00135,,412458
Garrett,Scott,,,,Scott Garrett,1959-07-09,M,rep,NJ,5,,Republican,2232 Rayburn HOB; Washington DC 20515-3005,G000548,1737,N00000743,,H8NJ05052,1003601,400145
Miller,Jeff,,,,Jeff Miller,1959-06-27,M,rep,FL,1,,Republican,336 Cannon HOB; Washington DC 20515-0901,M001144,1685,N00013846,,H2FL01100,91615,400279
Hilleary,Van,,,,,1959-06-20,M,rep,TN,4,,Republican,,H000615,538,,,,,400547
Arcuri,Michael,A.,,,,1959-06-11,M,rep,NY,24,,Democrat,,A000363,1867,N00027890,,H6NY24128,1021495,412224
Pence,Mike,,,,Mike Pence,1959-06-07,M,rep,IN,6,,Republican,100 Cannon HOB; Washington DC 20515-1406,P000587,1649,N00003765,,H8IN02060,,400315
Bentsen,Ken,,,,,1959-06-03,M,rep,TX,25,,Democrat,,B000400,79,,,,,400550
Fingerhut,Eric,D.,,,,1959-05-06,M,rep,OH,19,,Democrat,,F000128,383,,,,,404083
Pierluisi,Pedro,R.,,,Pedro R. Pierluisi,1959-04-26,M,rep,PR,0,,Democrat,2410 Rayburn HOB; Washington DC 20515-5401,P000596,1953,N00029168,,H8PR00062,1031305,412306
Cardoza,Dennis,A.,,,,1959-03-31,M,rep,CA,18,,Democrat,2437 Rayburn House Office Building;  20515-0518,C001050,1709,N00024874,,H2CA18056,87444,400065
Carney,Christopher,P.,,,,1959-03-02,M,rep,PA,10,,Democrat,,C001065,1876,N00027703,,H6PA10109,1018516,412234
Buyer,Stephen,E.,,Steve,,1958-11-26,M,rep,IN,4,,Republican,,B001203,160,N00003924,,H2IN05025,26475,400056
Davis,Geoff,,,,,1958-10-26,M,rep,KY,4,,Republican,1119 Longworth House Office Building;  20515-1704,D000603,1784,N00024862,,H2KY04071,1011405,400633
Austria,Steve,,,,Steve Austria,1958-10-12,M,rep,OH,7,,Republican,439 Cannon HOB; Washington DC 20515-3507,A000365,1947,N00029412,,H8OH07065,1031355,412265
Nunnelee,Alan,,,,Alan Nunnelee,1958-10-09,M,rep,MS,1,,Republican,1427 Longworth HOB; Washington DC 20515-2401,N000186,2034,N00031006,,H0MS01043,95058,412442
Ellsworth,Brad,,,,,1958-09-11,M,rep,IN,8,,Democrat,,E000289,1851,N00027575,,H6IN08210,1021550,412206
Hochul,Kathleen,C.,,,Kathleen C. Hochul,1958-08-27,F,rep,NY,26,,Democrat,1711 Longworth HOB; Washington DC 20515-3226,H001062,2088,N00033055,,H2NY00036,,412497
Hayworth,John,D.,Jr.,J.D.,,1958-07-12,M,rep,AZ,5,,Republican,,H000413,520,N00006455,,,,400173
Carnahan,Russ,,,,Russ Carnahan,1958-07-10,M,rep,MO,3,,Democrat,1710 Longworth HOB; Washington DC 20515-2503,C001060,1789,N00005181,,H0MO00019,1003284,400638
Edwards,Donna,F.,,,Donna F. Edwards,1958-06-28,F,rep,MD,4,,Democrat,2445 Rayburn HOB; Washington DC 20515-2004,E000290,1894,N00028249,,H6MD04183,38535,412263
Renzi,Rick,,,,,1958-06-11,M,rep,AZ,1,,Republican,,R000574,1706,N00024931,,H2AZ01172,,400336
McIntosh,David,M.,,,,1958-06-08,M,rep,IN,2,,Republican,,M000481,776,,,,,400597
Greene Waldholtz,Enid,,,,Enid Greene Waldholtz,1958-06-05,F,rep,UT,2,,Republican,,G000408,1192,,,,,411214
Israel,Steve,J.,,,Steve Israel,1958-05-30,M,rep,NY,3,,Democrat,2457 Rayburn HOB; Washington DC 20515-3203,I000057,1663,N00013345,,H0NY02085,87911,400195
Hulshof,Kenny,C.,,,,1958-05-22,M,rep,MO,9,,Republican,,H000948,1492,N00008032,,H4MO09046,,400190
Feeney,Tom,C.,,,,1958-05-21,M,rep,FL,24,,Republican,,F000447,1716,N00024851,,H2FL00250,,400131
Santorum,Richard,J.,,Rick,,1958-05-10,M,sen,PA,,1,Republican,,S000059,1015,N00001380,S244,,,300085
Childers,Travis,W.,,,,1958-03-29,M,rep,MS,1,,Democrat,,C001074,1893,N00029692,,H8MS01061,1028265,412262
Molinari,Susan,,,,,1958-03-27,F,rep,NY,13,,Republican,,M000843,823,,,,,407817
Ensign,John,Eric,,,,1958-03-25,M,sen,NV,,1,Republican,119 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,E000194,348,N00006619,S281,S8NV00073,37076,300040
Lazio,Rick,A.,,,,1958-03-13,M,rep,NY,2,,Republican,,L000155,670,,,,,400594
Grayson,Alan,,,,Alan Grayson,1958-03-13,M,rep,FL,9,,Democrat,303 Cannon HOB; Washington DC 20515-0909,G000556,1914,N00028418,,H6FL08213,1013409,412276
Halvorson,Deborah,L.,,,,1958-03-01,F,rep,IL,11,,Democrat,,H001044,1919,N00029377,,H8IL11113,1031342,412279
Torkildsen,Peter,Gerard,,,,1958-01-28,M,rep,MA,6,,Republican,,T000314,1161,,,,,410887
Becerra,Xavier,,,,Xavier Becerra,1958-01-26,M,rep,CA,34,,Democrat,1226 Longworth HOB; Washington DC 20515-0534,B000287,70,N00009774,,H2CA30143,26567,400021
Salmon,Matt,,,,Matt Salmon,1958-01-21,M,rep,AZ,5,,Republican,2349 Rayburn HOB; Washington DC 20515-0305,S000018,1009,N00006446,,"H4AZ01038,H2AZ06130",37033,400606
Dahlkemper,Kathleen,A.,,,,1957-12-10,F,rep,PA,3,,Democrat,,D000608,1951,N00029414,,H8PA03084,1030596,412273
Ehrlich,Robert,L.,Jr.,,,1957-11-25,M,rep,MD,2,,Republican,,E000093,340,N00001925,,,,400523
Watts,J.C.,,,,,1957-11-18,M,rep,OK,4,,Republican,,W000210,1208,N00005528,,,,400541
Braley,Bruce,L.,,,Bruce L. Braley,1957-10-30,M,rep,IA,1,,Democrat,2263 Rayburn HOB; Washington DC 20515-1501,B001259,1845,N00027464,,"H6IA01098,S4IA00087",1020421,412208
Wamp,Zach,,,,,1957-10-28,M,rep,TN,3,,Republican,,W000119,1199,N00003159,,H2TN03052,36792,400421
Solis,Hilda,L.,,,,1957-10-20,F,rep,CA,32,,Democrat,,S001153,1636,N00009586,,H0CA31087,85603,400384
