CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID
H2GA02031,"BISHOP, SANFORD DIXON JR",GA,BISHOP,SANFORD,DIXON JR,B000490,91,26
H0TN06257,"BLACK, DIANE L MRS.",TN,BLACK,DIANE,L MRS.,B001273,2063,27
H0TN06257,"BLACK, DIANE LYNN",TN,BLACK,DIANE,LYNN,B001273,2063,27
H2TN06030,"BLACKBURN, MARSHA MRS.",TN,BLACKBURN,MARSHA,MRS.,B001243,1748,28
H2TN06030,"BLACKBURN, MARSHA W",TN,BLACKBURN,MARSHA,W,B001243,1748,28
H2IA01055,"BLUM, RODNEY",IA,BLUM,RODNEY,,B001294,0,29
H2IA01055,"BLUM, RODNEY LELAND",IA,BLUM,RODNEY,LELAND,B001294,0,29
H6OR03064,"BLUMENAUER, EARL",OR,BLUMENAUER,EARL,,B000574,99,30
S0CT00177,"BLUMENTHAL, RICHARD",CT,BLUMENTHAL,RICHARD,,B001277,2076,31
H6MO07128,"BLUNT, ROY",MO,BLUNT,ROY,,B000575,1464,32
S0MO00183,"BLUNT, ROY",MO,BLUNT,ROY,,B000575,1464,32
H0OH08029,"BOEHNER, JOHN A",OH,BOEHNER,JOHN,A,B000589,102,33
H0OH08029,"BOEHNER, JOHN A.",OH,BOEHNER,JOHN,A.,B000589,102,33
H0OH08029,"BOEHNER, JOHN ANDREW",OH,BOEHNER,JOHN,ANDREW,B000589,102,33
H2OR01133,"BONAMICI, SUZANNE",OR,BONAMICI,SUZANNE,,B001278,2092,34
H2OR01133,"BONAMICI, SUZANNE MS.",OR,BONAMICI,SUZANNE,MS.,B001278,2092,34
S4NJ00185,"BOOKER, CORY A",NJ,BOOKER,CORY,A,B001288,2194,35
H2AR03176,"BOOZMAN, JOHN N",AR,BOOZMAN,JOHN,N,B001236,1687,36
H2AR03176,"BOOZMAN, JOHN NICHOLS",AR,BOOZMAN,JOHN,NICHOLS,B001236,1687,36
S0AR00150,"BOOZMAN, JOHN",AR,BOOZMAN,JOHN,,B001236,1687,36
H2GU00033,"BORDALLO, MADELEINE Z",GU,BORDALLO,MADELEINE,Z,B001245,1723,37
H2GU00033,"BORDALLO, MADELEINE Z MS",GU,BORDALLO,MADELEINE,Z MS,B001245,1723,37
H2GU00033,"BORDALLO, MADELEINE Z. MS.",GU,BORDALLO,MADELEINE,Z. MS.,B001245,1723,37
H4IL12060,"BOST, MICHAEL",IL,BOST,MICHAEL,,B001295,0,38
H4IL12060,"BOST, MICHAEL J",IL,BOST,MICHAEL,J,B001295,0,38
H4LA07029,"BOUSTANY, CHARLES DR. JR.",LA,BOUSTANY,CHARLES,DR. JR.,B001255,1787,39
H4LA07029,"BOUSTANY, CHARLES W. DR. JR.",LA,BOUSTANY,CHARLES,W. DR. JR.,B001255,1787,39
S6LA00300,"BOUSTANY, CHARLES W JR DR",LA,BOUSTANY,CHARLES,W JR DR,B001255,1787,39
H4LA07029,"BOUSTANY, JR, CHARLES W.",LA,BOUSTANY,"JR,",CHARLES W.,B001255,1787,39
H2CA06028,"BOXER, BARBARA",CA,BOXER,BARBARA,,B000711,116,40
S2CA00286,"BOXER, BARBARA",CA,BOXER,BARBARA,,B000711,116,40
H4PA13199,"BOYLE, BRENDAN F",PA,BOYLE,BRENDAN,F,B001296,0,41
H6TX08100,"BRADY, KEVIN",TX,BRADY,KEVIN,,B000755,1468,42
H6TX08100,"BRADY, KEVIN PATRICK",TX,BRADY,KEVIN,PATRICK,B000755,1468,42
H4VA07143,"BRAT, DAVID ALAN",VA,BRAT,DAVID,ALAN,B001290,2203,44
H4VA07143,"BRAT, DAVID ALAN MR.",VA,BRAT,DAVID,ALAN MR.,B001290,2203,44
H2OK01143,"BRIDENSTINE, JAMES FREDERICK",OK,BRIDENSTINE,JAMES,FREDERICK,B001283,2155,45
H0AL05163,"BROOKS, MO",AL,BROOKS,MO,,B001274,1987,46
H2IN05082,"BROOKS, SUSAN MRS.",IN,BROOKS,SUSAN,MRS.,B001284,2129,47
H2FL03056,"BROWN, CORRINE",FL,BROWN,CORRINE,,B000911,132,48
S0FL00403,"BROWN, CORRINE",FL,BROWN,CORRINE,,B000911,132,48
H2OH13033,"BROWN, SHERROD",OH,BROWN,SHERROD,,B000944,136,49
H2OH13033,"BROWN, SHERROD CAMPBELL",OH,BROWN,SHERROD,CAMPBELL,B000944,136,49
S6OH00163,"BROWN, SHERROD",OH,BROWN,SHERROD,,B000944,136,49
H2CA00120,"BROWNLEY, JULIA",CA,BROWNLEY,JULIA,,B001285,2106,50
H6FL13148,"BUCHANAN, VERNON",FL,BUCHANAN,VERNON,,B001260,1840,51
H4CO04090,"BUCK, KENNETH R",CO,BUCK,KENNETH,R,B001297,0,52
S0CO00237,"BUCK, KENNETH R",CO,BUCK,KENNETH,R,B001297,0,52
H0IN08114,"BUCSHON, LARRY D",IN,BUCSHON,LARRY,D,B001275,2018,53
H0IN08114,"BUCSHON, LARRY D.",IN,BUCSHON,LARRY,D.,B001275,2018,53
H2TX26093,"BURGESS, MICHAEL",TX,BURGESS,MICHAEL,,B001248,1751,54
H2TX26093,"BURGESS, MICHAEL C DR",TX,BURGESS,MICHAEL,C DR,B001248,1751,54
H2TX26093,"BURGESS, MICHAEL C DR.",TX,BURGESS,MICHAEL,C DR.,B001248,1751,54
H2TX26093,"BURGESS, MICHAEL C. DR.",TX,BURGESS,MICHAEL,C. DR.,B001248,1751,54
H2TX26093,"BURGESS, MICHAEL CLIFTON",TX,BURGESS,MICHAEL,CLIFTON,B001248,1751,54
H2NC05074,"BURR, RICHARD",NC,BURR,RICHARD,,B001135,153,55
H2NC05074,"BURR, RICHARD M",NC,BURR,RICHARD,M,B001135,153,55
H2NC05074,"BURR, RICHARD MAUZE",NC,BURR,RICHARD,MAUZE,B001135,153,55
S4NC00089,"BURR, RICHARD",NC,BURR,RICHARD,,B001135,153,55
S4NC00089,"BURR, RICHARD M",NC,BURR,RICHARD,M,B001135,153,55
H2IL17071,"BUSTOS, CHERI",IL,BUSTOS,CHERI,,B001286,2127,56
H4NC01046,"BUTTERFIELD, G K",NC,BUTTERFIELD,G,K,B001251,1761,57
H4NC01046,"BUTTERFIELD, G. K.",NC,BUTTERFIELD,G.,K.,B001251,1761,57
H4AL01123,"BYRNE, BRADLEY ROBERTS",AL,BYRNE,BRADLEY,ROBERTS,B001289,2197,58
H2CA37023,"CALVERT, KEN",CA,CALVERT,KEN,,C000059,165,59
H2CA37023,"CALVERT, KENNETH S",CA,CALVERT,KENNETH,S,C000059,165,59
H2CA37023,"CALVERT, KENNETH S MR.",CA,CALVERT,KENNETH,S MR.,C000059,165,59
H2CA37023,"CALVERT, KENNETH STANTON",CA,CALVERT,KENNETH,STANTON,C000059,165,59
H2WA01054,"CANTWELL, MARIA",WA,CANTWELL,MARIA,,C000127,172,60
H2WA01054,"CANTWELL, MARIA E",WA,CANTWELL,MARIA,E,C000127,172,60
S8WA00194,"CANTWELL, MARIA",WA,CANTWELL,MARIA,,C000127,172,60
H0WV02138,"CAPITO, SHELLEY MOORE",WV,CAPITO,SHELLEY,MOORE,C001047,1676,61
H0WV02138,"CAPITO, SHELLEY MOORE MS.",WV,CAPITO,SHELLEY,MOORE MS.,C001047,1676,61
S4WV00159,"CAPITO, SHELLEY MOORE",WV,CAPITO,SHELLEY,MOORE,C001047,1676,61
S4WV00159,"CAPITO, SHELLEY MOORE MS",WV,CAPITO,SHELLEY,MOORE MS,C001047,1676,61
H8CA22089,"CAPPS, LOIS",CA,CAPPS,LOIS,,C001036,1471,62
H8CA22089,"CAPPS, LOIS G",CA,CAPPS,LOIS,G,C001036,1471,62
H8MA08071,"CAPUANO, MICHAEL E",MA,CAPUANO,MICHAEL,E,C001037,1564,63
H8MA08071,"CAPUANO, MICHAEL EVERETT",MA,CAPUANO,MICHAEL,EVERETT,C001037,1564,63
S0MA00117,"CAPUANO, MICHAEL E",MA,CAPUANO,MICHAEL,E,C001037,1564,63
S2CA00054,"CARDENAS, TOM",CA,CARDENAS,TOM,,C001097,2107,64
H2CA28113,"CARDENAS, TONY",CA,CARDENAS,TONY,,C001097,2107,64
H6MD03177,"CARDIN, BENJAMIN L",MD,CARDIN,BENJAMIN,L,C000141,174,65
H6MD03177,"CARDIN, BENJAMIN LOUIS",MD,CARDIN,BENJAMIN,LOUIS,C000141,174,65
S6MD03177,"CARDIN, BENJAMIN L",MD,CARDIN,BENJAMIN,L,C000141,174,65
H0DE01017,"CARNEY, JOHN",DE,CARNEY,JOHN,,C001083,1999,66
H0DE01017,"CARNEY, JOHN CHARLES JR",DE,CARNEY,JOHN,CHARLES JR,C001083,1999,66
H2DE00023,"CARPER, THOMAS R",DE,CARPER,THOMAS,R,C000174,179,67
H2DE00023,"CARPER, THOMAS RICHARD",DE,CARPER,THOMAS,RICHARD,C000174,179,67
S8DE00079,"CARPER, THOMAS R",DE,CARPER,THOMAS,R,C000174,179,67
H8IN07184,"CARSON, ANDRE",IN,CARSON,ANDRE,,C001072,1889,68
H4GA01039,"CARTER, EARL LEROY",GA,CARTER,EARL,LEROY,C001103,0,69
H2TX31044,"CARTER, JOHN",TX,CARTER,JOHN,,C001051,1752,70
H2TX31044,"CARTER, JOHN R.",TX,CARTER,JOHN,R.,C001051,1752,70
H2TX31044,"CARTER, JOHN R. REP.",TX,CARTER,JOHN,R. REP.,C001051,1752,70
H2TX31044,"CARTER, JOHN RICE",TX,CARTER,JOHN,RICE,C001051,1752,70
H2PA17079,"CARTWRIGHT, MATT",PA,CARTWRIGHT,MATT,,C001090,2159,71
H2PA17079,"CARTWRIGHT, MATT MR",PA,CARTWRIGHT,MATT,MR,C001090,2159,71
H2PA17079,"CARTWRIGHT, MATTHEW A",PA,CARTWRIGHT,MATTHEW,A,C001090,2159,71
H6PA18037,"CASEY, ROBERT J.",PA,CASEY,ROBERT,J.,C001070,1828,72
S6PA00217,"CASEY, ROBERT P JR",PA,CASEY,ROBERT,P JR,C001070,1828,72
H8LA00017,"CASSIDY, WILLIAM",LA,CASSIDY,WILLIAM,,C001075,1925,73
S4LA00107,"CASSIDY, WILLIAM",LA,CASSIDY,WILLIAM,,C001075,1925,73
S4LA00107,"CASSIDY, WILLIAM M",LA,CASSIDY,WILLIAM,M,C001075,1925,73
H6FL11126,"CASTOR, KATHY",FL,CASTOR,KATHY,,C001066,1839,74
H2TX35011,"CASTRO, JOAQUIN MR.",TX,CASTRO,JOAQUIN,MR.,C001091,2163,75
H2TX35011,"CASTRO, JOAQUIN REP.",TX,CASTRO,JOAQUIN,REP.,C001091,2163,75
H8OH01043,"CHABOT, STEVE",OH,CHABOT,STEVE,,C000266,186,76
H8OH01043,"CHABOT, STEVEN J",OH,CHABOT,STEVEN,J,C000266,186,76
H8OH01043,"CHABOT, STEVEN JOSEPH",OH,CHABOT,STEVEN,JOSEPH,C000266,186,76
H8UT03089,"CHAFFETZ, JASON",UT,CHAFFETZ,JASON,,C001076,1956,77
H0CA32101,"CHU, JUDY",CA,CHU,JUDY,,C001080,1970,78
H0RI01073,"CICILLINE, DAVID N",RI,CICILLINE,DAVID,N,C001084,2055,79
H4MA05084,"CLARK, KATHERINE",MA,CLARK,KATHERINE,,C001101,2196,80
H4NY11138,"CLARKE, YVETTE",NY,CLARKE,YVETTE,,C001067,1864,81
H4NY11138,"CLARKE, YVETTE D",NY,CLARKE,YVETTE,D,C001067,1864,81
H4FL19074,"CLAWSON, CURTIS J",FL,CLAWSON,CURTIS,J,C001102,2200,82
H4MO05234,"CLEAVER, EMANUEL II",MO,CLEAVER,EMANUEL,II,C001061,1790,84
H2SC02042,"CLYBURN, JAMES E",SC,CLYBURN,JAMES,E,C000537,208,85
H2SC02042,"CLYBURN, JAMES E (JIM)",SC,CLYBURN,JAMES,E (JIM),C000537,208,85
H2SC02042,"CLYBURN, JAMES E.",SC,CLYBURN,JAMES,E.,C000537,208,85
H4IN09056,"COATS, D KEITH",IN,COATS,D,KEITH,C000542,209,86
H0IN04022,"COATS, DANIEL R",IN,COATS,DANIEL,R,C000542,209,86
S0IN00053,"COATS, DANIEL R",IN,COATS,DANIEL,R,C000542,209,86
S8MS00055,"COCHRAN, THAD",MS,COCHRAN,THAD,,C000567,213,87
S8MS00055,"COCHRAN, WILLIAM THAD",MS,COCHRAN,WILLIAM,THAD,C000567,213,87
H8CO06138,"COFFMAN, MICHAEL",CO,COFFMAN,MICHAEL,,C001077,1912,88
H2CO00019,"COFFMAN, MIKE",CO,COFFMAN,MIKE,,C001077,1912,88
H8CO06138,"COFFMAN, MIKE",CO,COFFMAN,MIKE,,C001077,1912,88
H8CO06138,"COFFMAN, MIKE REP.",CO,COFFMAN,MIKE,REP.,C001077,1912,88
H6TN09068,"COHEN, STEPHEN IRA",TN,COHEN,STEPHEN,IRA,C001068,1878,89
H6TN09068,"COHEN, STEVE I MR.",TN,COHEN,STEVE,I MR.,C001068,1878,89
H2OK04055,"COLE, TOM",OK,COLE,TOM,,C001053,1742,90
H2OK04055,"COLE, TOM JEFFERY",OK,COLE,TOM,JEFFERY,C001053,1742,90
H2OK04055,"COLE, TOM JEFFREY",OK,COLE,TOM,JEFFREY,C001053,1742,90
H8NY29032,"COLLINS, CHRISTOPHER C",NY,COLLINS,CHRISTOPHER,C,C001092,2151,91
H2GA09150,"COLLINS, DOUGLAS ALLEN",GA,COLLINS,DOUGLAS,ALLEN,C001093,2121,92
S6ME00159,"COLLINS, SUSAN M",ME,COLLINS,SUSAN,M,C001035,1541,93
H6KY01110,"COMER, JAMES",KY,COMER,JAMES,,C001108,0,94
H4VA10089,"COMSTOCK, BARBARA J",VA,COMSTOCK,BARBARA,J,C001105,0,95
H4VA10089,"COMSTOCK, BARBARA J HONORABLE",VA,COMSTOCK,BARBARA,J HONORABLE,C001105,0,95
H4TX19136,"CONAWAY, K MICHAEL",TX,CONAWAY,K,MICHAEL,C001062,1805,96
H4TX19136,"CONAWAY, K. MICHAEL  HON.",TX,CONAWAY,K.,MICHAEL  HON.,C001062,1805,96
H4TX19136,"CONAWAY, K. MICHAEL HON.",TX,CONAWAY,K.,MICHAEL HON.,C001062,1805,96
H4TX19136,"CONAWAY, MICHAEL HONORABLE",TX,CONAWAY,MICHAEL,HONORABLE,C001062,1805,96
H8VA11062,"CONNOLLY, GERALD EDWARD",VA,CONNOLLY,GERALD,EDWARD,C001078,1959,97
H8VA11062,"CONNOLLY, GERRY",VA,CONNOLLY,GERRY,,C001078,1959,97
H6MI01028,"CONYERS, JOHN J.",MI,CONYERS,JOHN,J.,C000714,229,98
H6MI01028,"CONYERS, JOHN JR",MI,CONYERS,JOHN,JR,C000714,229,98
H6MI01028,"CONYERS, JOHN JR.",MI,CONYERS,JOHN,JR.,C000714,229,98
H2CA08164,"COOK, PAUL",CA,COOK,PAUL,,C001094,2103,99
S0DE00092,"COONS, CHRISTOPHER A",DE,COONS,CHRISTOPHER,A,C001088,1984,100
H2TN04027,"COOPER, JAMES H S",TN,COOPER,JAMES,H S,C000754,231,101
H2TN04027,"COOPER, JAMES H S (""JIM"")",TN,COOPER,JAMES,"H S (""JIM"")",C000754,231,101
H2TN04027,"COOPER, JAMES HAYES SHOFNER",TN,COOPER,JAMES,HAYES SHOFNER,C000754,231,101
H2TN05131,"COOPER, JAMES",TN,COOPER,JAMES,,C000754,231,101
H2TN05131,"COOPER, JAMES H S",TN,COOPER,JAMES,H S,C000754,231,101
H2TN05131,"COOPER, JAMES H. S.",TN,COOPER,JAMES,H. S.,C000754,231,101
S4TN00096,"COOPER, JIM",TN,COOPER,JIM,,C000754,231,101
S4TN00187,"CORKER, BOB",TN,CORKER,BOB,,C001071,1825,102
S6TN00216,"CORKER, ROBERT P JR",TN,CORKER,ROBERT,P JR,C001071,1825,102
S2TX00106,"CORNYN, JOHN",TX,CORNYN,JOHN,,C001056,1692,103
H4CA20082,"COSTA, JIM",CA,COSTA,JIM,,C001059,1774,104
H4CA20082,"COSTA, JIM MR.",CA,COSTA,JIM,MR.,C001059,1774,104
H0PA06076,"COSTELLO, RYAN A",PA,COSTELLO,RYAN,A,C001106,0,105
H2AR04083,"COTTON, THOMAS",AR,COTTON,THOMAS,,C001095,2098,106
S4AR00103,"COTTON, THOMAS",AR,COTTON,THOMAS,,C001095,2098,106
H2CT02112,"COURTNEY, JOE",CT,COURTNEY,JOE,,C001069,1836,107
H2CT02112,"COURTNEY, JOSEPH D",CT,COURTNEY,JOSEPH,D,C001069,1836,107
H0ND01026,"CRAMER, KEVIN",ND,CRAMER,KEVIN,,C001096,2144,108
H0ND01026,"CRAMER, KEVIN MR.",ND,CRAMER,KEVIN,MR.,C001096,2144,108
H6ND00074,"CRAMER, KEVIN J",ND,CRAMER,KEVIN,J,C001096,2144,108
H2ID02034,"CRAPO, MICHAEL D",ID,CRAPO,MICHAEL,D,C000880,250,109
S8ID00027,"CRAPO, MICHAEL ",ID,CRAPO,MICHAEL,,C000880,250,109
S8ID00027,"CRAPO, MICHAEL D",ID,CRAPO,MICHAEL,D,C000880,250,109
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AR,CRAWFORD,ERIC,ALAN RICK,C001087,1989,110
H0FL04066,"CRENSHAW, ANDER",FL,CRENSHAW,ANDER,,C001045,1643,111
H0FL04066,"CRENSHAW, ANDER HON",FL,CRENSHAW,ANDER,HON,C001045,1643,111
H0FL04066,"CRENSHAW, ANDER HON.",FL,CRENSHAW,ANDER,HON.,C001045,1643,111
H0FL04066,"CRENSHAW, ANDER M HON",FL,CRENSHAW,ANDER,M HON,C001045,1643,111
H8NY07046,"CROWLEY, JOSEPH",NY,CROWLEY,JOSEPH,,C001038,1604,112
S2TX00312,"CRUZ, RAFAEL EDWARD TED",TX,CRUZ,RAFAEL,EDWARD TED,C001098,2175,113
H2TX23082,"CUELLAR, ENRIQUE ROBERTO",TX,CUELLAR,ENRIQUE,ROBERTO,C001063,1807,114
H2TX23082,"CUELLAR, HENRY",TX,CUELLAR,HENRY,,C001063,1807,114
H2TX23082,"CUELLAR, HENRY R",TX,CUELLAR,HENRY,R,C001063,1807,114
H2TX23082,"CUELLAR, HENRY R.",TX,CUELLAR,HENRY,R.,C001063,1807,114
H2TX23082,"CUELLAR, ROBERTO ENRIQUE",TX,CUELLAR,ROBERTO,ENRIQUE,C001063,1807,114
H0TX07055,"CULBERSON, JOHN",TX,CULBERSON,JOHN,,C001048,1670,115
H0TX07055,"CULBERSON, JOHN A",TX,CULBERSON,JOHN,A,C001048,1670,115
H6MD07160,"CUMMINGS, ELIJAH E",MD,CUMMINGS,ELIJAH,E,C000984,256,116
H6MD07160,"CUMMINGS, ELIJAH EUGENE",MD,CUMMINGS,ELIJAH,EUGENE,C000984,256,116
H4FL26038,"CURBELO, CARLOS MR.",FL,CURBELO,CARLOS,MR.,C001107,0,117
H2MT01060,"DAINES, STEVEN",MT,DAINES,STEVEN,,D000618,2138,118
S2MT00096,"DAINES, STEVEN",MT,DAINES,STEVEN,,D000618,2138,118
H6OH08315,"DAVIDSON, WARREN",OH,DAVIDSON,WARREN,,D000626,0,119
H4IL07037,"DAVIS, DANNY K",IL,DAVIS,DANNY,K,D000096,1477,120
H4IL07037,"DAVIS, DANNY K. MR.",IL,DAVIS,DANNY,K. MR.,D000096,1477,120
H2IL13120,"DAVIS, RODNEY L",IL,DAVIS,RODNEY,L,D000619,2126,121
H0CA49055,"DAVIS, SUSAN",CA,DAVIS,SUSAN,,D000598,1641,122
H0CA49055,"DAVIS, SUSAN A",CA,DAVIS,SUSAN,A,D000598,1641,122
H6OR04047,"DEFAZIO, PETER",OR,DEFAZIO,PETER,,D000191,279,123
H6OR04047,"DEFAZIO, PETER A",OR,DEFAZIO,PETER,A,D000191,279,123
H6OR04047,"DEFAZIO, PETER A.",OR,DEFAZIO,PETER,A.,D000191,279,123
S6OR00151,"DEFAZIO, PETER A",OR,DEFAZIO,PETER,A,D000191,279,123
H6CO01141,"DEGETTE, DIANA",CO,DEGETTE,DIANA,,D000197,1479,124
H6CO01141,"DEGETTE, DIANA L",CO,DEGETTE,DIANA,L,D000197,1479,124
H6CO01141,"DEGETTE, DIANA L.",CO,DEGETTE,DIANA,L.,D000197,1479,124
H6CO01141,"DEGETTE, DIANA LOUISE",CO,DEGETTE,DIANA,LOUISE,D000197,1479,124
H0CT03072,"DELAURO, ROSA",CT,DELAURO,ROSA,,D000216,281,125
H0CT03072,"DELAURO, ROSA L",CT,DELAURO,ROSA,L,D000216,281,125
H2FL00292,"DESANTIS, RONALD D",FL,DESANTIS,RONALD,D,D000621,2116,126
H2FL00292,"DESANTIS, RONALD D.",FL,DESANTIS,RONALD,D.,D000621,2116,126
S6FL00293,"DESANTIS, RONALD D",FL,DESANTIS,RONALD,D,D000621,2116,126
H0CA10073,"DESAULNIER, MARK",CA,DESAULNIER,MARK,,D000623,0,127
H0WA08046,"DELBENE, SUZAN K",WA,DELBENE,SUZAN,K,D000617,2096,128
H2MD06195,"DELANEY, JOHN K",MD,DELANEY,JOHN,K,D000620,2133,129
H0CA19173,"DENHAM, JEFF",CA,DENHAM,JEFF,,D000612,1995,130
H4PA15087,"DENT, CHARLES W",PA,DENT,CHARLES,W,D000604,1799,131
H4PA15087,"DENT, CHARLES W REP",PA,DENT,CHARLES,W REP,D000604,1799,131
H4PA15087,"DENT, CHARLES W. REP.",PA,DENT,CHARLES,W. REP.,D000604,1799,131
H4PA15087,"DENT, CHARLES WIEDER",PA,DENT,CHARLES,WIEDER,D000604,1799,131
H0TN04195,"DESJARLAIS, SCOTT EUGENE",TN,DESJARLAIS,SCOTT,EUGENE,D000616,2062,132
H0TN04195,"DESJARLAIS, SCOTT HON.",TN,DESJARLAIS,SCOTT,HON.,D000616,2062,132
H0FL19080,"DEUTCH, THEODORE ELIOT",FL,DEUTCH,THEODORE,ELIOT,D000610,1976,133
H2FL25018,"DIAZ-BALART, MARIO",FL,DIAZ-BALART,MARIO,,D000600,1717,134
H4MI12079,"DINGELL, DEBBIE",MI,DINGELL,DEBBIE,,D000624,0,135
H4TX10028,"DOGGETT, LLOYD",TX,DOGGETT,LLOYD,,D000399,303,136
H4TX10028,"DOGGETT, LLOYD A",TX,DOGGETT,LLOYD,A,D000399,303,136
H4TX10028,"DOGGETT, LLOYD A MR.",TX,DOGGETT,LLOYD,A MR.,D000399,303,136
H4TX10028,"DOGGETT, LLOYD REP.",TX,DOGGETT,LLOYD,REP.,D000399,303,136
S4TX00011,"DOGGETT, LLOYD ALTON",TX,DOGGETT,LLOYD,ALTON,D000399,303,136
H0IL10302,"DOLD, ROBERT JAMES JR",IL,DOLD,ROBERT,JAMES JR,D000613,2013,137
